2025-04-02 10:02:36.194 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:37.194 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:37.195 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:38.112 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:38.113 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:39.116 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:39.117 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:40.088 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:40.089 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=1, result=0
2025-04-02 10:02:41.108 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:42.205 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:43.096 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:44.127 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:45.235 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:46.222 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:47.101 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:48.139 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:49.116 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:50.082 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:51.122 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:52.132 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:53.130 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:54.088 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:55.105 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:56.082 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=105, stage=, status=4, result=0
2025-04-02 10:02:56.823 | INFO     | src.ui.api_test_widget:go_home:596 - 正在执行回桩...
2025-04-02 10:02:56.837 | INFO     | src.ui.api_test_widget:go_home:602 - 回桩完成
2025-04-02 10:02:57.108 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:02:57.108 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:02:58.285 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:02:58.286 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:02:59.103 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:02:59.104 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:00.146 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
